"Reference","Value","Footprint","MFT","MNP","Description"
"C1,C2,C83","10uF/35V","SAMPI:CAP1206","Murata","GRT31CR6YA106ME01L","CAP CER 10UF 35V X5R 1206"
"C3,C6,C35,C36,C42,C43,C44,C45,C51,C56,C61,C62,C63,C67,C69,C73,C79,C80","100nF","SAMPI:CAP0603","Samsung","CL10B104KB8NNNC","CAP CER 0.1UF 50V X7R 0603"
"C4,C5,C7,C52,C57,C65,C71,C74,C77,C78,C81,C82","1nF","SAMPI:CAP0603","Samsung","CL10B102KB8NNNC","CAP CER 1nF 50V X7R 0603"
"C8,C10,C49,C58,C59,C60","100pF/2kV","SAMPI:CAP1206","WE","885342208022","CAP CER 100PF 2000V X7R 1206"
"C31,C37,C46,C47,C48,C53,C54,C55","10uF","SAMPI:CAP0603","Samsung","CL10A106MQ8NNNC","CAP CER 10UF 6.3V X5R 0603"
"C33,C84,C85,C86,C87","22pF","SAMPI:CAP0603","Walsin","0603N220J500CT","CAP CER 22PF 50V C0G/NP0 0603"
"C38,C39,C40","47uF/35V","SAMPI:CAP_ELEC-6.6x6.6-DIA6.3","KEMET","A768EB476M1VLAE042","CAP ALUM POLY 47UF 20% 35V SMD"
"C41","470uF/25V","SAMPI:CAP_ELEC-10.3x10.3-DIA10","KEMET","A768MS477M1ELAE017","CAP ALUM POLY 470UF 20% 25V SMD"
"C50","470nF/630V","SAMPI:FCAP-15MM","KEMET","R523I347050P0K","CAP FILM 0.47UF 10% 630VDC RAD"
"C88","100uF/450V","SAMPI:CAP_ELEC-18.0x51.5-LS7.5","Elite","VW2W101MNN1825A4EF3","CAP ALUM 100UF 20% 450V SNAP"
"CB1","MCDBG CABLE","","Samtec Inc.","IDSD-06-D-06.00-T-G","INSULATION DISPLACEMENT TERMINAL"
"CB2","ENCODER CABLE","","OEM","PH2.0-1x8-1-20CM","CABLE 1x8x2.0 20CM 1 HEADER"
"D1,D2,D3,D4,D5,D6","5VZ","Liem:SOD-123FL_12","Rohm","SMF5V0TR","TVS DIODE 5VWM 9.2VC PMDU"
"D7","VL","SAMPI:LED0603","Harvatek","B1931TW--20P000314U1930","LED WHITE 0603 SMD"
"D8","UL","SAMPI:LED0603","Harvatek","B1911USD-20D000114U1930","LED RED DIFFUSED 0603 SMD"
"D9","WL","SAMPI:LED0603","Harvatek","B19Y1NB--20C000113U1930","LED BLUE CLEAR 0603 SMD"
"D11","VH","SAMPI:LED0603","Harvatek","B1931TW--20P000314U1930","LED WHITE 0603 SMD"
"D12","WH","SAMPI:LED0603","Harvatek","B19Y1NB--20C000113U1930","LED BLUE CLEAR 0603 SMD"
"D13","UH","SAMPI:LED0603","Harvatek","B1911USD-20D000114U1930","LED RED DIFFUSED 0603 SMD"
"D14","GP DIODE","SAMPI:SOT23","ANBON","MMBD4148SE","DIODE ARRAY GP 75V 150MA SOT23"
"D17","ERR","SAMPI:LED0603","Harvatek","B1911USD-20D000114U1930","LED RED DIFFUSED 0603 SMD"
"D18","RUN","SAMPI:LED0603","Harvatek","B1911NG--20D000214U1930","LED GREEN DIFFUSED 0603 SMD"
"D19,D20","TVS 5.5V","SAMPI:SOT143B_NEXT","  Nexperia","PRTR5V0U2X,215","TVS DIODE 5.5VWM SOT143B"
"FT1,FT5","120R@100MHz","SAMPI:FT0603","Pulse","PE-0603PFB121ST","FERRITE BEAD 120 OHM 1A 0603 1LN"
"G2","300V","SAMPI:GDT1812_3532","YAGEO","4532-301-LF","GDT SMD 4532, 300V30% 2KA, REEL"
"J1","MCDBG","SAMPI:IDC-2x6x2.54MM_TH","Samtec","TST-106-01-T-D","CONN HEADER VERT 12POS 2.54MM"
"J2,J6","U","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --"
"J3,J7","V","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --"
"J4,J8","W","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --"
"J5,J9","N","-- mixed values --","-- mixed values --","-- mixed values --","-- mixed values --"
"J10","ENCODER PORT","","OEM","GX16-8P-MF","8 Contact Cable Mount Miniature Plug-Socket Crimp 4A 125V M16"
"J11","ENCODER","SAMPI:HDM1x8x2.0_SMA_RA","Cvilux","CI0108M1HR0-NH","8 POS 2.00MM(.079) SINGLE ROW SM"
"J14","MCU PWR","SAMPI:HDM1x8x2.54_TH_RA","Sullins","PBC08SBAN","CONN HEADER R/A 8POS 2.54MM"
"J15","INV PWR & RELAYS","SAMPI:HDM1x8x2.54_TH_RA","Sullins","PBC08SBAN","CONN HEADER R/A 8POS 2.54MM"
"J16","HIGH VOLTAGE OUTPUTS","SAMPI:HDF1x10x2.54_TH_RA","Sullins","PPTC101LGBN-RC","CONN HDR 10POS 0.1 TIN PCB R/A"
"M5,M6,M7","560V/1.75kA","SAMPI:MOV5MM","YAGEO","561KD07","VARISTOR 560V 1.75KA DISC 7MM"
"MD3","ACIM-MCU","SAMPI:HW.ACIM-MCU_SMD","SAMPI","HW.ACIM-MCU-MK0","ACIM-MCU BOARD"
"OP1","OPTO-BJT-1CH","SAMPI:OPTO_SO4_7.6MM","Everlight","EL1018(TA)-VG","OPTOISOLTR 5KV TRANSISTOR 4-SOP"
"Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9","60V/265mA","SAMPI:SOT23","Nexperia","BSN20BKR","MOSFET N-CH 60V 265MA SOT-23-3"
"Q3","20V/1A","SAMPI:SOT23","Diodes","DMN2310U-7","MOSFET N-CH 20 V 1.6A SOT-23-3"
"R1,R2,R27,R28,R29,R43,R44,R45,R46","100K, 1%","SAMPI:RES0603","YAGEO","RC0603FR-07100KL","RES 100K OHM 1% 1/10W 0603"
"R3,R33,R34,R41,R47,R48","10R, 1%","SAMPI:RES0603","YAGEO","RC0603FR-0710RL","RES 10 OHM 1% 1/10W 0603"
"R4,R5,R6,R18,R19,R20,R24,R49,R50","1K","SAMPI:RES0603","YAGEO","RC0603JR-071KL","RES 1K OHM 5% 1/10W 0603"
"R16,R22","10K","SAMPI:RES0603","YAGEO","RC0603JR-0710KL","RES 10K OHM 5% 1/10W 0603"
"R21,R23,R26","4.7R","SAMPI:RES1206","Stackpole","RNCP1206FTD4R70","RES 4.7 OHM 1% 1/2W 1206"
"R25","1.2M","SAMPI:RES0603","YAGEO","RC0603JR-071M2L","RES 1.2M OHM 5% 1/10W 0603"
"R30","1.1K, 1%","SAMPI:RES0603","YAGEO","RC0603FR-071K1L","RES 1.1K OHM 1% 1/10W 0603"
"R37,R38","10K, 1%","SAMPI:RES0603","YAGEO","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603"
"R39,R40","4.99K, 1%","SAMPI:RES0603","YAGEO","RC0603FR-074K99L","RES 4.99K OHM 1% 1/10W 0603"
"R51,R52,R53,R54,R55,R56,R57,R58","2.2K","SAMPI:RES0603","YAGEO","RC0603JR-132K2L","RES 2.2K OHM 5% 1/10W 0603"
"RV1","20K","SAMPI:TC33X-2","Bourns","TC33X-2-203E","TRIMMER 20KOHM 0.15W J LEAD TOP"
"SH1,SH2,SH3,SH4,SH5,SH6,SH7,SH8,SH9","SCREW HOLDER","SAMPI:SCREWHOLE-2.5M","Essentra","50M025045P012","PAN PHILLIPS SCREW, M2.5 X 4.5 T"
"U1,U11,U12","I=±10A","SAMPI:SOIC8_ALL","Allegro","ACS724LLCTR-10AB-T","SENSOR CURRENT HALL 10A AC/DC"
"U2,U17,U18,U19","OP-1CH","SAMPI:SOT353","Onsemi","NCV21871SQ3T2G","IC OPAMP GP 1 CIRCUIT SC88A"
"U6","LDO 3.3V±0.1%/20mA","SAMPI:SOT-23-6_MCHP","Microchip","MCP1501T-33E/CHY","IC VREF SERIES 0.1% SOT23-6"
"U7","IPM 600V/15A","SAMPI:CIPOS-MINI","Infineon","IKCM15H60GAXKMA2","IFPS MODULES 24MDIP"
"U8,U9,U10","DIGI ISO","SAMPI:SOIC8_ALL","Analog Devices","ADUM120N1BRZ-RL7","DGTL ISO 3000VRMS 2CH GP 8SOIC"
