"Reference","Value","Qty","#","MFT","MNP","Description"
"C1,C19,C20","22pF","3","1","Murata","GRM1555C1H220JA01D","CAP CER 22PF 50V C0G/NP0 0402"
"C10,C12,C21,C23,C25,C27","100nF","6","2","Murata","GRM155R71H104ME14D","CAP CER 0.1UF 50V X7R 0402"
"C13,C22,C24,C26,C28","10uF","5","3","Murata","GRM155C80J106ME11D","CAP CER 10UF 6.3V X6S 0402"
"J1,J2","HEADER 2x15POS","2","4","Amphenol","10152265-1301HF","MINITEK127 1.27MM, VERTICAL HEAD"
"D1","SLED","1","5","Harvatek","B1931NG--20D001114U1930","LED GREEN DIFFUSED 0603 SMD"
"D2","PWR","1","6","Harvatek","B1931URO-20D000114U1930","LED RED DIFFUSED 0603 SMD"
"R1,R2","1K","2","7","Yageo","RC0402JR-071KL","RES 1K OHM 5% 1/16W 0402"
"R3","10K","1","8","Yageo","RC0402JR-0710KL","RES 10K OHM 5% 1/16W 0402"
"U2","12MHz","1","9","Abracon","ABM10-167-12.000MHZ-T3","CRYSTAL 12.0000MHZ 8PF SMD"
"U1","MIPS 32-bit DSC","1","10","Microchip","PIC32MK1024MCM064-I/PT","IC MCU 32BIT 1MB FLASH 64TQFP"
