"Reference","Value","Footprint","MFT","MNP","Description"
"C1,C2,C10","100pF/2kV","SAMPI:CAP1206","WE","885342208022","CAP CER 100PF 2000V X7R 1206"
"C3,C4,C65","1nF","SAMPI:CAP0603","Samsung","CL10B102KB8NNNC","CAP CER 1nF 50V X7R 0603"
"C5,C6,C67","100nF","SAMPI:CAP0603","Samsung","CL10B104KB8NNNC","CAP CER 0.1UF 50V X7R 0603"
"C7,C8,C12,C13,C20,C69,C73,C110,C112,C121,C123,C125,C127","100nF","SAMPI:CAP0402","Walsin","0402B104K500CT","CAP CER 0.1UF 50V X7R 0402"
"C9,C11,C14,C15,C21,C22,C23,C24,C25,C26,C27,C28,C71,C74","1nF","SAMPI:CAP0402","Samsung","0402B102K500CT","CAP CER 0.1UF 50V X7R 0402"
"C16,C17","10uF","SAMPI:CAP0603","Murata","GRM155C80J106ME11D","CAP CER 10UF 6.3V X6S 0402"
"C18","100nF","SAMPI:CAP0603","Murata","GRM155R71H104ME14D","CAP CER 0.1UF 50V X7R 0402"
"C19,C29,C113,C122,C124,C126,C128","10uF","SAMPI:CAP0402","Samsung","CL05A106MQ5NUNC","CAP CER 10UF 6.3V X5R 0402"
"C101,C119,C120","22pF","SAMPI:CAP0402","Murata","GRM1555C1H220JA01D","CAP CER 22PF 50V C0G/NP0 0402"
"D1,D2,D14","GP DIODE","SAMPI:SOT23","ANBON","MMBD4148SE","DIODE ARRAY GP 75V 150MA SOT23"
"D101","SLED","SAMPI:LED0603","Harvatek","B1931NG--20D001114U1930","LED GREEN DIFFUSED 0603 SMD"
"D102","PWR","SAMPI:LED0603","Harvatek","B1931URO-20D000114U1930","LED RED DIFFUSED 0603 SMD"
"FT1,FT2,FT3,FT4,FT5","1K@100MHz","Liem:FT0603","TDK","MPZ1608S102ATA00","FERRITE BEAD 1 KOHM 0603 1LN"
"FT6,FT7,FT8,FT9,FT10,FT11,FT12,FT13","1K@100MHz","SAMPI:IND0402","TDK","BLM15AX102SN1D","FERRITE BEAD 1 KOHM 0402 1LN"
"J5","QWIIC","SAMPI:HDM-1x4x1.0-RA","Amphenol ICC (FCI)","10147606-00004LF","CONN HEADER SMD R/A 4POS 1MM"
"J101,J102","HEADER 2x15POS","SAMPI:HD-2x15x1.27-SMD","Amphenol","10152265-1301HF","MINITEK127 1.27MM, VERTICAL HEAD"
"MD1","3.3V-5V/1W","Liem:B1524S-1WR3","Mornsun America, LLC","B0505S-1WR3","DC DC CONVERTER 5V 1W"
"R1,R2,R3,R5,R6,R7,R27,R28,R29","100K, 1%","SAMPI:RES0603","YAGEO","RC0603FR-07100KL","RES 100K OHM 1% 1/10W 0603"
"R4,R8,R30","100R, 1%","SAMPI:RES0603","YAGEO","RC0603FR-07100RL","RES 100R OHM 1% 1/10W 0603"
"R9,R10,R11,R12,R33,R34","10R, 1%","SAMPI:RES0603","YAGEO","RC0603FR-0710RL","RES 10 OHM 1% 1/10W 0603"
"R13,R14,R15,R16,R37,R38","10K, 1%","SAMPI:RES0402","YAGEO","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603"
"R17,R18,R19,R20,R39,R40","4.99K, 1%","SAMPI:RES0402","YAGEO","RC0603FR-074K99L","RES 4.99K OHM 1% 1/10W 0603"
"R21,R22,R41","10R, 1%","SAMPI:RES0402","YAGEO","RC0402FR-0710RL","RES 10 OHM 1% 1/16W 0402"
"R23,R24","2.2K","SAMPI:RES0402","Yageo","RC0402JR-072K2L","RES 2.2K OHM 5% 1/16W 0402"
"R101,R102","1K","SAMPI:RES0402","Yageo","RC0402JR-071KL","RES 1K OHM 5% 1/16W 0402"
"R103","10K","SAMPI:RES0402","Yageo","RC0402JR-0710KL","RES 10K OHM 5% 1/16W 0402"
"SH5,SH7,SH8","SCREW HOLDER","SAMPI:SCREWHOLE-2.5M","Essentra","50M025045P012","PAN PHILLIPS SCREW, M2.5 X 4.5 T"
"U1,U2,U15","ISO OPAMP 1-CH","SAMPI:SOIC8-11.5","Texas Instruments","AMC1200BDWVR","IC OPAMP ISOLATION 1 CIRC 8SOIC 7.5MM"
"U3,U4,U17","OP-1CH","SAMPI:SOT-23-5_MCHP","Microchip","MCP6486UT-E/OT","SINGLE, 10MHZ OP AMP, E TEMP"
"U5","LDO 3.3V","SAMPI:SOT23","Microchip","MCP1700T-3302E/TT","IC REG LINEAR 3.3V 250MA SOT23-3"
"U101","MIPS 32-bit DSC","SAMPI:TQFP64_10x10_MCHP","Microchip","PIC32MK1024MCM064-I/PT","IC MCU 32BIT 1MB FLASH 64TQFP"
"U102","24MHz","SAMPI:SMD4-2520","Abracon","ABM10-167-12.000MHZ-T3","CRYSTAL 12.0000MHZ 8PF SMD"
